region,iteration,milliseconds
generate_target,0,9.210000
prepare_source,0,27.692678
grid_index_icp,0,3.081733
profile_metrics,0,606.186736
nearest_neighbors,1,286.542218
estimate_transform,1,0.275976
profile_metrics,1,594.765442
nearest_neighbors,2,280.794561
estimate_transform,2,0.303454
profile_metrics,2,581.831384
nearest_neighbors,3,274.735911
estimate_transform,3,0.301843
profile_metrics,3,572.335130
nearest_neighbors,4,269.158664
estimate_transform,4,0.284535
profile_metrics,4,558.965648
nearest_neighbors,5,264.755193
estimate_transform,5,0.330072
profile_metrics,5,551.665265
nearest_neighbors,6,260.595262
estimate_transform,6,0.282265
profile_metrics,6,538.394668
nearest_neighbors,7,256.527903
estimate_transform,7,0.312444
profile_metrics,7,532.796300
nearest_neighbors,8,252.842054
estimate_transform,8,0.315964
profile_metrics,8,519.709888
nearest_neighbors,9,248.542700
estimate_transform,9,0.293141
profile_metrics,9,507.115277
nearest_neighbors,10,245.354289
estimate_transform,10,0.285607
profile_metrics,10,503.071477
nearest_neighbors,11,241.981043
estimate_transform,11,0.283159
profile_metrics,11,492.094180
nearest_neighbors,12,238.844784
estimate_transform,12,0.335876
profile_metrics,12,483.000344
nearest_neighbors,13,235.454428
estimate_transform,13,0.306908
profile_metrics,13,481.758435
nearest_neighbors,14,232.694361
estimate_transform,14,0.291935
profile_metrics,14,468.469616
nearest_neighbors,15,231.454248
estimate_transform,15,0.300166
profile_metrics,15,468.607137
nearest_neighbors,16,228.478369
estimate_transform,16,0.294124
profile_metrics,16,459.819088
nearest_neighbors,17,226.812150
estimate_transform,17,0.329268
profile_metrics,17,458.616975
nearest_neighbors,18,225.623722
estimate_transform,18,0.297878
profile_metrics,18,452.870808
nearest_neighbors,19,225.081976
estimate_transform,19,0.315548
profile_metrics,19,453.733210
nearest_neighbors,20,225.878242
estimate_transform,20,0.318738
profile_metrics,20,456.104915
nearest_neighbors,21,227.990968
estimate_transform,21,0.340408
profile_metrics,21,453.706845
nearest_neighbors,22,230.489967
estimate_transform,22,0.350115
profile_metrics,22,457.090926
nearest_neighbors,23,233.627148
estimate_transform,23,0.316463
profile_metrics,23,470.470690
nearest_neighbors,24,238.749610
estimate_transform,24,0.324545
profile_metrics,24,473.894874
nearest_neighbors,25,245.120632
estimate_transform,25,0.354106
profile_metrics,25,484.368444
nearest_neighbors,26,247.346541
estimate_transform,26,0.321083
profile_metrics,26,482.167930
nearest_neighbors,27,249.912911
estimate_transform,27,0.322560
profile_metrics,27,488.444871
nearest_neighbors,28,251.489543
estimate_transform,28,0.322486
profile_metrics,28,485.422413
nearest_neighbors,29,251.813840
estimate_transform,29,0.361109
profile_metrics,29,486.839667
nearest_neighbors,30,251.710223
estimate_transform,30,0.333977
profile_metrics,30,492.766056
nearest_neighbors,31,249.701563
estimate_transform,31,0.327039
profile_metrics,31,489.703851
nearest_neighbors,32,246.733751
estimate_transform,32,0.313695
profile_metrics,32,493.335277
nearest_neighbors,33,242.038014
estimate_transform,33,0.398937
profile_metrics,33,497.944563
nearest_neighbors,34,243.339501
estimate_transform,34,0.341187
profile_metrics,34,510.532057
nearest_neighbors,35,247.731274
estimate_transform,35,0.340814
profile_metrics,35,515.357993
nearest_neighbors,36,251.913439
estimate_transform,36,0.365208
profile_metrics,36,526.594136
nearest_neighbors,37,254.846911
estimate_transform,37,0.362688
profile_metrics,37,528.680481
nearest_neighbors,38,256.805244
estimate_transform,38,0.338428
profile_metrics,38,532.599610
nearest_neighbors,39,258.388303
estimate_transform,39,0.395735
profile_metrics,39,537.070456
nearest_neighbors,40,258.916666
estimate_transform,40,0.330687
profile_metrics,40,533.037718
nearest_neighbors,41,259.673023
estimate_transform,41,0.364097
profile_metrics,41,538.338313
nearest_neighbors,42,259.518707
estimate_transform,42,0.364205
profile_metrics,42,534.086847
nearest_neighbors,43,259.807566
estimate_transform,43,0.329377
profile_metrics,43,535.994132
nearest_neighbors,44,259.819733
estimate_transform,44,0.321156
profile_metrics,44,541.570205
nearest_neighbors,45,260.170936
estimate_transform,45,0.344059
profile_metrics,45,536.567917
