iteration,matches,theta_deg,tx,ty,target_centroid_x,target_centroid_y,source_centroid_x,source_centroid_y,centroid_distance,rmse_source_to_target,rmse_target_to_source,symmetric_chamfer_rmse,median_distance,p95_distance,max_distance,coverage,match_rmse,profile_score,score_variation,transform_step
21,92140,-8.2452414658,-947.2692635616,817.9861920067,4860.4952257433,5000.2486525847,5098.8367102878,4513.9238483269,541.5888463505,224.0547427309,203.4717453980,214.0108395800,113.7821567393,443.4769066654,1028.5540325904,0.9422300000,158.2102150149,0.0247068802,0.0245562707,0.0113227268
22,93381,-8.9340622154,-1009.9660478175,880.5271389285,4860.4952257433,5000.2486525847,5080.1351947470,4503.5120218306,543.1288947541,217.4352721999,193.6376665743,205.8806007289,108.5159250411,422.0236494196,1022.4766846039,0.9495500000,158.0664328879,0.0241592100,0.0221667095,0.0122933281
23,93846,-9.6357584415,-1070.7767084814,944.0859636375,4860.4952257433,5000.2486525847,5063.2370812243,4492.2160957105,546.9929970374,211.9615975175,184.4034509223,198.6609568262,102.1862006697,410.2717691292,1020.9770189874,0.9523150000,152.9235304041,0.0237170124,0.0183034790,0.0123539316
24,93936,-10.2903915554,-1124.8582737883,1003.8938265130,4860.4952257433,5000.2486525847,5049.2934369547,4481.7097013334,551.8400207682,206.9999282412,176.0767756228,192.1613920713,95.4843566731,403.9233246247,1013.0786850839,0.9533500000,145.8413516045,0.0233431079,0.0157652465,0.0114075199
25,93930,-10.9046444997,-1174.5946779646,1061.0867585921,4860.4952257433,5000.2486525847,5036.4862583689,4472.5125908122,556.3076437186,200.9769145089,168.3715328280,185.3924125098,88.4198171220,400.4395614517,974.3461457582,0.9538650000,139.1979494862,0.0229434459,0.0171211981,0.0107036778
26,93940,-11.4593020011,-1219.2674165063,1113.4825450811,4860.4952257433,5000.2486525847,5024.5466212572,4464.6224807225,560.1859123129,194.3942569199,161.4767550935,178.6950888511,82.0303657515,397.8299669248,940.0073942922,0.9540550000,133.3151210264,0.0225384323,0.0176526904,0.0096942160
27,93952,-11.9549806523,-1258.6931425222,1159.9392725837,4860.4952257433,5000.2486525847,5013.8783439368,4456.9378400212,564.5467385391,187.9555470223,155.5160356162,172.5000362177,75.4934995764,396.8726516319,910.8564212644,0.9538950000,128.4196852436,0.0221774652,0.0160156271,0.0086288980
28,93941,-12.4574197636,-1298.8208550453,1206.1743890206,4860.4952257433,5000.2486525847,5002.4211798272,4448.0413548875,570.1542563839,180.7758865729,149.9166594033,166.0646349059,68.5892825682,395.4120366959,882.9181996712,0.9544400000,123.8391813375,0.0218215415,0.0160488920,0.0087302387
29,94062,-13.0084395089,-1342.8742558048,1256.6051261969,4860.4952257433,5000.2486525847,4989.2532909500,4437.7233789583,577.0730654122,172.3792992329,144.4334547575,159.0214539885,61.5732339004,382.5423996036,853.9538607117,0.9570600000,119.4053657734,0.0214458218,0.0172178340,0.0095770140
30,94642,-13.6646333561,-1396.6269371830,1318.6980434258,4860.4952257433,5000.2486525847,4971.5170702061,4427.0890271306,583.8131603506,161.2368337741,138.2084866757,150.1647467861,53.6941430581,355.7658388297,819.4403525706,0.9603600000,116.6022974984,0.0209387072,0.0236463124,0.0115767901
31,95328,-14.4639369791,-1463.6058996267,1398.0825663891,4860.4952257433,5000.2486525847,4947.2805863559,4417.3353001410,589.3383368438,146.3181309237,130.0839069911,138.4391893487,44.4234837502,322.2903231760,777.5667526757,0.9636950000,110.6698299415,0.0202072573,0.0349329052,0.0143629561
32,95969,-15.2796127630,-1531.4155936838,1482.2874652882,4860.4952257433,5000.2486525847,4921.8025740874,4409.9704886995,593.4533694576,131.6280586083,122.0718849964,126.9399285480,33.7621213595,296.2903178601,737.0464308190,0.9662750000,99.0401278686,0.0194668810,0.0366391307,0.0147840013
33,96451,-15.9750000878,-1587.5470957739,1556.0563967989,4860.4952257433,5000.2486525847,4900.7276185524,4405.2043111510,596.4028954519,121.3495709677,116.6779367117,119.0366735283,23.3760443954,282.4119200906,704.7164568045,0.9675950000,85.2727198719,0.0189601772,0.0260290170,0.0126135926
34,96713,-16.4731318655,-1625.5420305540,1609.6622096936,4860.4952257433,5000.2486525847,4887.2577657217,4402.2938395466,598.5534161472,116.2205562771,114.2319178089,115.2305270917,15.5709506803,275.2066077179,684.5168647118,0.9683400000,74.4294706837,0.0187290582,0.0121897068,0.0089567112
35,96833,-16.8207701702,-1650.3135132893,1647.5570957051,4860.4952257433,5000.2486525847,4879.3104044915,4400.6215880060,599.9221845595,113.8027266340,113.1967230737,113.5001293038,10.9803482207,272.8308814123,671.8926254850,0.9686800000,68.7400424513,0.0186308972,0.0052411053,0.0061820466
36,96887,-17.0725376453,-1667.1448752268,1675.2618256521,4860.4952257433,5000.2486525847,4874.5134015395,4399.6075446161,600.8046686190,112.5598223397,112.7132108091,112.6365426849,8.4618773417,269.8156883058,663.4727386511,0.9689300000,65.9851524826,0.0185854327,0.0024402761,0.0044322093
37,96923,-17.2652361058,-1679.3010988879,1696.7358931211,4860.4952257433,5000.2486525847,4871.4827445119,4399.0651927211,601.2838580756,111.8269289767,112.4354378323,112.1315961825,7.0600517631,268.6516078393,657.2971222036,0.9690400000,64.6761174239,0.0185581985,0.0014653496,0.0033681799
38,96947,-17.4182279268,-1688.4514561279,1713.9931306091,4860.4952257433,5000.2486525847,4869.5248145116,4398.8208420559,601.4955899678,111.3462726212,112.2555841533,111.8018528474,6.2777888970,267.5066966508,652.5037991173,0.9691650000,63.9708723147,0.0185386251,0.0010547063,0.0026591929
39,96969,-17.5455733833,-1695.8382673115,1728.5161149129,4860.4952257433,5000.2486525847,4868.0890917870,4398.7614652321,601.5351222919,110.9968542442,112.1299572413,111.5648442903,5.8191925054,267.3891598157,648.5394058654,0.9693100000,63.6250035089,0.0185225649,0.0008663100,0.0022102536
40,96986,-17.6519884067,-1701.8312388374,1740.7568356706,4860.4952257433,5000.2486525847,4867.0442229085,4398.8064541869,601.4778527738,110.7379366894,112.0429399762,111.3923494248,5.5203376188,267.1796689325,645.2477456149,0.9693750000,63.4157980290,0.0185093553,0.0007131637,0.0018436780
41,96995,-17.7431551001,-1706.7826405356,1751.3315775447,4860.4952257433,5000.2486525847,4866.3138834233,4398.9257105534,601.3510932810,110.5366640117,111.9797403741,111.2605418490,5.3398962055,266.4548914055,642.4341291736,0.9693800000,63.2281337508,0.0184977943,0.0006246039,0.0015752354
42,96997,-17.8233122130,-1711.0236110844,1760.6546811200,4860.4952257433,5000.2486525847,4865.7704780359,4399.0504277312,601.2213684274,110.3777031615,111.9405501595,111.1618732417,5.2875934050,265.9544185162,639.9999037973,0.9694100000,63.0264560368,0.0184885241,0.0005011493,0.0013811013
43,97008,-17.8929286487,-1714.6663602866,1768.7725809318,4860.4952257433,5000.2486525847,4865.3286192018,4399.1753402694,601.0927453147,110.2530580485,111.9201262237,111.0897192880,5.2234589878,265.4014052614,637.9078025651,0.9693650000,63.0047939882,0.0184811483,0.0003989400,0.0011988334
44,97009,-17.9530614210,-1717.7370484295,1775.8103161740,4860.4952257433,5000.2486525847,4865.0149534764,4399.3058255711,600.9598233475,110.1545429864,111.9104784140,111.0359818244,5.1699067124,265.2216229696,636.1114541497,0.9693350000,62.8859358199,0.0184749987,0.0003327479,0.0010333518
45,97001,-18.0059527164,-1720.4109494123,1781.9800571810,4860.4952257433,5000.2486525847,4864.7600675558,4399.3977318571,600.8660564675,110.0798433126,111.9143451001,111.0008841021,5.1400318971,264.9480284560,634.5757240166,0.9693600000,62.6725867597,0.0184708594,0.0002240522,0.0009067067
