run,region,iteration,milliseconds
2,nearest_neighbors,7,346.72978700
2,rigid_transform,7,0.74640700
2,profile_metrics,7,831.33771100
2,nearest_neighbors,8,403.62512200
2,rigid_transform,8,0.56301100
2,profile_metrics,8,734.61735800
2,nearest_neighbors,9,321.45220000
2,rigid_transform,9,0.56527500
2,profile_metrics,9,639.62791100
2,nearest_neighbors,10,323.30259500
2,rigid_transform,10,0.75588000
2,profile_metrics,10,650.27296600
2,nearest_neighbors,11,303.51614100
2,rigid_transform,11,0.52062900
2,profile_metrics,11,618.46428000
2,nearest_neighbors,12,300.80070000
2,rigid_transform,12,0.55894800
2,profile_metrics,12,616.12357300
2,nearest_neighbors,13,327.68803300
2,rigid_transform,13,0.47202700
2,profile_metrics,13,627.96955700
2,nearest_neighbors,14,306.49950800
2,rigid_transform,14,0.57957700
2,profile_metrics,14,625.76413000
2,nearest_neighbors,15,297.53743300
2,rigid_transform,15,0.51579300
2,profile_metrics,15,595.02047300
2,nearest_neighbors,16,283.31345400
2,rigid_transform,16,0.58676600
2,profile_metrics,16,583.24147300
2,nearest_neighbors,17,293.94711600
2,rigid_transform,17,0.54473500
2,profile_metrics,17,612.26815100
2,nearest_neighbors,18,297.98343800
2,rigid_transform,18,0.59799300
2,profile_metrics,18,598.06047600
2,nearest_neighbors,19,291.38317400
2,rigid_transform,19,1.37886200
2,profile_metrics,19,564.43950400
2,nearest_neighbors,20,274.21052200
2,rigid_transform,20,0.56182700
2,profile_metrics,20,572.04032700
2,nearest_neighbors,21,269.61550700
2,rigid_transform,21,0.59709600
2,profile_metrics,21,581.95766700
2,nearest_neighbors,22,298.52546500
2,rigid_transform,22,0.61910400
2,profile_metrics,22,582.40585800
2,nearest_neighbors,23,289.24601300
2,rigid_transform,23,0.57730000
2,profile_metrics,23,561.24906400
2,nearest_neighbors,24,306.33577500
2,rigid_transform,24,0.52800000
2,profile_metrics,24,592.10697400
2,nearest_neighbors,25,294.89088300
2,rigid_transform,25,0.60981700
2,profile_metrics,25,568.51795700
2,nearest_neighbors,26,303.66867500
2,rigid_transform,26,0.53725800
2,profile_metrics,26,595.49671400
2,nearest_neighbors,27,315.95603200
2,rigid_transform,27,0.47448500
2,profile_metrics,27,621.24576400
2,nearest_neighbors,28,316.41054100
2,rigid_transform,28,0.58937300
2,profile_metrics,28,623.70645700
2,nearest_neighbors,29,345.55239100
2,rigid_transform,29,0.99866000
2,profile_metrics,29,627.86550000
2,nearest_neighbors,30,328.76079300
2,rigid_transform,30,0.65802500
2,profile_metrics,30,618.79305600
2,nearest_neighbors,31,316.67443100
2,rigid_transform,31,0.58532800
2,profile_metrics,31,613.44905600
2,nearest_neighbors,32,311.70222400
2,rigid_transform,32,0.62862900
2,profile_metrics,32,622.39876900
2,nearest_neighbors,33,297.65838200
2,rigid_transform,33,0.60797300
2,profile_metrics,33,578.38614600
2,nearest_neighbors,34,313.50409800
2,rigid_transform,34,0.59359300
2,profile_metrics,34,687.89022600
2,nearest_neighbors,35,338.74945200
2,rigid_transform,35,0.50634500
2,profile_metrics,35,691.96895100
2,nearest_neighbors,36,343.78078900
2,rigid_transform,36,0.59838400
2,profile_metrics,36,660.69996100
2,nearest_neighbors,37,309.94926300
2,rigid_transform,37,0.61271900
2,profile_metrics,37,698.24331900
2,nearest_neighbors,38,388.56235900
2,rigid_transform,38,0.55034000
2,profile_metrics,38,720.80988300
2,nearest_neighbors,39,312.34366100
2,rigid_transform,39,0.50053800
2,profile_metrics,39,667.69147700
2,nearest_neighbors,40,323.63887900
2,rigid_transform,40,1.21343400
2,profile_metrics,40,651.56472400
2,nearest_neighbors,41,321.21114200
2,rigid_transform,41,0.52713800
2,profile_metrics,41,667.56647200
2,nearest_neighbors,42,316.35603400
2,rigid_transform,42,0.51173700
2,profile_metrics,42,638.40571900
2,nearest_neighbors,43,312.61487700
2,rigid_transform,43,0.62291200
2,profile_metrics,43,633.80234500
2,nearest_neighbors,44,307.05726900
2,rigid_transform,44,0.71774700
2,profile_metrics,44,608.71872700
2,nearest_neighbors,45,296.55540000
2,rigid_transform,45,0.74174600
2,profile_metrics,45,599.83585900
3,target_generation,0,12.7823
3,source_preparation,0,30.109
3,grid_construction,0,3.75383
3,nearest_neighbors,1,371.43450
3,rigid_transform,1,0.58841
3,profile_metrics,1,774.35785
3,nearest_neighbors,2,365.59385400
3,rigid_transform,2,0.51506300
3,profile_metrics,2,746.17334700
3,nearest_neighbors,3,357.01981100
3,rigid_transform,3,0.52808700
3,profile_metrics,3,766.03858700
3,nearest_neighbors,4,355.14172100
3,rigid_transform,4,0.57754900
3,profile_metrics,4,744.69982600
3,nearest_neighbors,5,327.44499900
3,rigid_transform,5,0.50432200
3,profile_metrics,5,683.19125600
3,nearest_neighbors,6,318.58156800
3,rigid_transform,6,0.50882900
3,profile_metrics,6,666.78215200
3,nearest_neighbors,7,311.93034400
3,rigid_transform,7,0.50781700
3,profile_metrics,7,662.66123300
3,nearest_neighbors,8,308.55594200
3,rigid_transform,8,0.50216700
3,profile_metrics,8,648.34103400
3,nearest_neighbors,9,312.29815800
3,rigid_transform,9,0.55309900
3,profile_metrics,9,639.77314700
3,nearest_neighbors,10,302.43682500
3,rigid_transform,10,0.51739900
3,profile_metrics,10,613.68708400
3,nearest_neighbors,11,304.32733300
3,rigid_transform,11,0.51570100
3,profile_metrics,11,606.41603000
3,nearest_neighbors,12,291.36028100
3,rigid_transform,12,0.51697100
3,profile_metrics,12,591.07239900
3,nearest_neighbors,13,288.46169900
3,rigid_transform,13,0.51769700
3,profile_metrics,13,582.15555700
3,nearest_neighbors,14,286.62499100
3,rigid_transform,14,0.56219900
3,profile_metrics,14,630.73680300
3,nearest_neighbors,15,275.39116300
3,rigid_transform,15,0.52436000
3,profile_metrics,15,556.02295500
3,nearest_neighbors,16,279.02512300
3,rigid_transform,16,0.53157700
3,profile_metrics,16,550.24775400
3,nearest_neighbors,17,274.20058900
3,rigid_transform,17,0.53804700
3,profile_metrics,17,547.17311200
3,nearest_neighbors,18,275.69641200
3,rigid_transform,18,0.54446400
3,profile_metrics,18,542.25706400
3,nearest_neighbors,19,268.64439200
3,rigid_transform,19,0.55651500
3,profile_metrics,19,545.94037700
3,nearest_neighbors,20,265.83122900
3,rigid_transform,20,0.55602400
3,profile_metrics,20,531.12712200
3,nearest_neighbors,21,268.26037600
3,rigid_transform,21,0.60638200
3,profile_metrics,21,542.46970800
3,nearest_neighbors,22,268.35564600
3,rigid_transform,22,0.56479100
3,profile_metrics,22,534.66800400
3,nearest_neighbors,23,279.63808400
3,rigid_transform,23,0.60965800
3,profile_metrics,23,539.34853400
3,nearest_neighbors,24,279.14818100
3,rigid_transform,24,0.56960000
3,profile_metrics,24,562.15400100
3,nearest_neighbors,25,288.37473900
3,rigid_transform,25,0.57231500
3,profile_metrics,25,625.99225600
3,nearest_neighbors,26,311.01477200
3,rigid_transform,26,0.52262100
3,profile_metrics,26,677.43899700
3,nearest_neighbors,27,379.77509600
3,rigid_transform,27,0.58424400
3,profile_metrics,27,632.12670400
3,nearest_neighbors,28,325.70589400
3,rigid_transform,28,0.65197400
3,profile_metrics,28,632.28234400
3,nearest_neighbors,29,311.54293100
3,rigid_transform,29,0.97171600
3,profile_metrics,29,652.17263600
3,nearest_neighbors,30,315.91190300
3,rigid_transform,30,0.58663100
3,profile_metrics,30,631.29020900
3,nearest_neighbors,31,307.00893400
3,rigid_transform,31,0.49859800
3,profile_metrics,31,638.47648900
3,nearest_neighbors,32,312.90696100
3,rigid_transform,32,0.67839000
3,profile_metrics,32,564.35576200
3,nearest_neighbors,33,275.01080500
3,rigid_transform,33,0.58588400
3,profile_metrics,33,575.02218200
3,nearest_neighbors,34,277.02869000
3,rigid_transform,34,0.62543000
3,profile_metrics,34,581.16617500
3,nearest_neighbors,35,289.87397900
3,rigid_transform,35,0.70568900
3,profile_metrics,35,595.34596800
3,nearest_neighbors,36,283.34792100
3,rigid_transform,36,0.58898100
3,profile_metrics,36,576.65267100
3,nearest_neighbors,37,287.52904300
3,rigid_transform,37,0.59214700
3,profile_metrics,37,606.28776400
3,nearest_neighbors,38,303.59690900
3,rigid_transform,38,0.63935900
3,profile_metrics,38,641.79042600
3,nearest_neighbors,39,310.47104000
3,rigid_transform,39,0.64888800
3,profile_metrics,39,638.15562900
3,nearest_neighbors,40,317.96115400
3,rigid_transform,40,0.64698600
3,profile_metrics,40,625.58459100
3,nearest_neighbors,41,327.96124100
3,rigid_transform,41,0.48685800
3,profile_metrics,41,616.76706900
3,nearest_neighbors,42,300.89995700
3,rigid_transform,42,0.60167700
3,profile_metrics,42,612.62526800
3,nearest_neighbors,43,302.86589900
3,rigid_transform,43,0.67796300
3,profile_metrics,43,645.57060400
3,nearest_neighbors,44,298.89608600
3,rigid_transform,44,0.62951800
3,profile_metrics,44,623.25576500
3,nearest_neighbors,45,325.79673200
3,rigid_transform,45,0.61727000
3,profile_metrics,45,618.27819400
4,target_generation,0,13.8499
4,source_preparation,0,31.8856
4,grid_construction,0,3.76713
4,nearest_neighbors,1,420.67091
4,rigid_transform,1,0.42330
4,profile_metrics,1,876.73149
4,nearest_neighbors,2,370.88529500
4,rigid_transform,2,0.52227900
4,profile_metrics,2,822.58485700
4,nearest_neighbors,3,404.16968900
4,rigid_transform,3,0.42639800
4,profile_metrics,3,848.98596100
4,nearest_neighbors,4,382.17004000
4,rigid_transform,4,0.52574200
4,profile_metrics,4,726.59073200
4,nearest_neighbors,5,349.09921100
4,rigid_transform,5,0.51325600
4,profile_metrics,5,692.36201100
4,nearest_neighbors,6,331.37196000
4,rigid_transform,6,0.51502700
4,profile_metrics,6,748.19140600
4,nearest_neighbors,7,358.98731000
4,rigid_transform,7,0.53327600
4,profile_metrics,7,682.57523800
4,nearest_neighbors,8,329.67062300
4,rigid_transform,8,0.54520000
4,profile_metrics,8,647.70147400
4,nearest_neighbors,9,310.85092100
4,rigid_transform,9,0.52675600
4,profile_metrics,9,788.14509200
4,nearest_neighbors,10,357.12568200
4,rigid_transform,10,0.52239600
4,profile_metrics,10,719.56114900
4,nearest_neighbors,11,306.78041400
4,rigid_transform,11,0.56248900
4,profile_metrics,11,637.57299800
4,nearest_neighbors,12,301.00295400
4,rigid_transform,12,0.52688400
4,profile_metrics,12,678.65247200
4,nearest_neighbors,13,327.32350600
4,rigid_transform,13,0.57773800
4,profile_metrics,13,704.21101100
4,nearest_neighbors,14,309.99386200
4,rigid_transform,14,0.64945500
4,profile_metrics,14,646.27798300
4,nearest_neighbors,15,363.76727100
4,rigid_transform,15,0.46570200
4,profile_metrics,15,610.09676000
4,nearest_neighbors,16,296.60568700
4,rigid_transform,16,0.59702400
4,profile_metrics,16,606.45579400
4,nearest_neighbors,17,291.22050100
4,rigid_transform,17,0.63122900
4,profile_metrics,17,575.30314300
4,nearest_neighbors,18,294.52121700
4,rigid_transform,18,0.56591700
4,profile_metrics,18,576.15015500
4,nearest_neighbors,19,286.49211200
4,rigid_transform,19,0.60377600
4,profile_metrics,19,581.20468100
4,nearest_neighbors,20,288.19555800
4,rigid_transform,20,0.47310400
4,profile_metrics,20,567.59599700
4,nearest_neighbors,21,291.27897900
4,rigid_transform,21,0.60027100
4,profile_metrics,21,575.62112900
4,nearest_neighbors,22,290.69277300
4,rigid_transform,22,0.59118500
4,profile_metrics,22,569.38942300
4,nearest_neighbors,23,290.40988200
4,rigid_transform,23,0.59312000
4,profile_metrics,23,566.68818600
4,nearest_neighbors,24,294.98687500
4,rigid_transform,24,0.63947800
4,profile_metrics,24,572.34206600
4,nearest_neighbors,25,300.93616800
4,rigid_transform,25,0.61450200
4,profile_metrics,25,580.86619500
4,nearest_neighbors,26,297.29531700
4,rigid_transform,26,0.65743000
4,profile_metrics,26,576.12249700
4,nearest_neighbors,27,306.64448400
