region,iteration,milliseconds
generate_target,0,7.635675
prepare_source,0,21.204413
grid_index_icp,0,3.867511
profile_metrics,0,571.535879
nearest_neighbors,1,270.650491
estimate_transform,1,0.941695
profile_metrics,1,574.088602
nearest_neighbors,2,271.626801
estimate_transform,2,0.473923
profile_metrics,2,547.148916
nearest_neighbors,3,254.435744
estimate_transform,3,0.543044
profile_metrics,3,528.312668
nearest_neighbors,4,253.143388
estimate_transform,4,0.884587
profile_metrics,4,511.883457
nearest_neighbors,5,250.558114
estimate_transform,5,2.003678
profile_metrics,5,497.669452
nearest_neighbors,6,240.613769
estimate_transform,6,0.499943
profile_metrics,6,553.971439
nearest_neighbors,7,281.705892
estimate_transform,7,0.895899
profile_metrics,7,555.099154
nearest_neighbors,8,233.935258
estimate_transform,8,0.794137
profile_metrics,8,549.098984
nearest_neighbors,9,263.466739
estimate_transform,9,0.881582
profile_metrics,9,520.897631
nearest_neighbors,10,333.368834
estimate_transform,10,0.662639
profile_metrics,10,578.840260
nearest_neighbors,11,236.891672
estimate_transform,11,0.836668
profile_metrics,11,465.344365
nearest_neighbors,12,237.504036
estimate_transform,12,1.028149
profile_metrics,12,461.387096
nearest_neighbors,13,227.208519
estimate_transform,13,0.567830
profile_metrics,13,446.626110
nearest_neighbors,14,221.773613
estimate_transform,14,1.226772
profile_metrics,14,447.803850
nearest_neighbors,15,221.798300
estimate_transform,15,0.585113
profile_metrics,15,445.453279
nearest_neighbors,16,220.686434
estimate_transform,16,0.914203
profile_metrics,16,432.810305
nearest_neighbors,17,226.316637
estimate_transform,17,1.167200
profile_metrics,17,435.839846
nearest_neighbors,18,234.820337
estimate_transform,18,1.568957
profile_metrics,18,474.872047
nearest_neighbors,19,210.407406
estimate_transform,19,1.401832
profile_metrics,19,461.369043
nearest_neighbors,20,227.526308
estimate_transform,20,1.040071
profile_metrics,20,449.276526
nearest_neighbors,21,226.869008
estimate_transform,21,1.038288
profile_metrics,21,427.880873
nearest_neighbors,22,226.173808
estimate_transform,22,0.497117
profile_metrics,22,436.931575
nearest_neighbors,23,223.504055
estimate_transform,23,1.123037
profile_metrics,23,438.832930
nearest_neighbors,24,232.221419
estimate_transform,24,1.045170
profile_metrics,24,433.436556
nearest_neighbors,25,239.185827
estimate_transform,25,0.765934
profile_metrics,25,455.052886
nearest_neighbors,26,235.156672
estimate_transform,26,1.027928
profile_metrics,26,444.346643
nearest_neighbors,27,235.563369
estimate_transform,27,1.001608
profile_metrics,27,433.982816
nearest_neighbors,28,230.786324
estimate_transform,28,0.682807
profile_metrics,28,461.345399
nearest_neighbors,29,246.001757
estimate_transform,29,1.061561
profile_metrics,29,451.564230
nearest_neighbors,30,240.094962
estimate_transform,30,5.463950
profile_metrics,30,445.341599
nearest_neighbors,31,235.119672
estimate_transform,31,1.073073
profile_metrics,31,440.910095
nearest_neighbors,32,220.650085
estimate_transform,32,1.118228
profile_metrics,32,545.978865
nearest_neighbors,33,248.324966
estimate_transform,33,0.657039
profile_metrics,33,554.087992
nearest_neighbors,34,266.912907
estimate_transform,34,3.815513
profile_metrics,34,449.284783
nearest_neighbors,35,254.235159
estimate_transform,35,1.113489
profile_metrics,35,544.060007
nearest_neighbors,36,254.348892
estimate_transform,36,1.154887
profile_metrics,36,468.777711
nearest_neighbors,37,228.799599
estimate_transform,37,0.595663
profile_metrics,37,516.126970
nearest_neighbors,38,386.960855
estimate_transform,38,0.557661
profile_metrics,38,501.467876
nearest_neighbors,39,233.906386
estimate_transform,39,1.007389
profile_metrics,39,556.105425
nearest_neighbors,40,267.635329
estimate_transform,40,0.614819
profile_metrics,40,564.670432
nearest_neighbors,41,260.394049
estimate_transform,41,0.774670
profile_metrics,41,480.659400
nearest_neighbors,42,236.548777
estimate_transform,42,0.631952
profile_metrics,42,470.171188
nearest_neighbors,43,251.569493
estimate_transform,43,1.295633
profile_metrics,43,468.913407
nearest_neighbors,44,258.015245
estimate_transform,44,2.465037
profile_metrics,44,513.616428
nearest_neighbors,45,237.138669
estimate_transform,45,0.586746
profile_metrics,45,454.644809
render_motion_frame,0,3.831233
render_motion_frame,1,3.142344
render_motion_frame,2,4.306899
render_motion_frame,3,4.666798
render_motion_frame,4,5.848776
render_motion_frame,5,7.455184
render_motion_frame,6,6.760846
render_motion_frame,7,12.795782
render_motion_frame,8,8.748452
render_motion_frame,9,9.018431
render_motion_frame,10,9.827877
render_motion_frame,11,14.686235
render_motion_frame,12,11.321873
render_motion_frame,13,12.905499
render_motion_frame,14,12.688229
render_motion_frame,15,14.383775
render_motion_frame,16,15.080519
render_motion_frame,17,22.633468
render_motion_frame,18,17.163145
render_motion_frame,19,17.871320
render_motion_frame,20,20.910118
render_motion_frame,21,19.405292
render_motion_frame,22,19.683176
render_motion_frame,23,21.687114
render_motion_frame,24,21.090298
render_motion_frame,25,24.307854
render_motion_frame,26,25.954728
render_motion_frame,27,22.607759
render_motion_frame,28,24.608591
export_reconstruction,0,3545.020180
