Using local file ./point_cloud_collimation.
Using local file point_cloud.prof.
Total: 3336 samples
       1   0.0%  98.6%        1   0.0% 0x000056d6299abaeb
       1   0.0%  98.6%        1   0.0% 0x000056d6299abb31
       1   0.0%  98.7%        1   0.0% 0x000056d6299abb4a
       1   0.0%  98.7%        1   0.0% 0x000056d6299abb5b
       1   0.0%  98.7%        1   0.0% 0x000056d6299abb70
       1   0.0%  98.7%        1   0.0% 0x000056d6299abb7e
       1   0.0%  98.8%        1   0.0% 0x000056d6299abb87
       1   0.0%  98.8%        1   0.0% 0x000056d6299abc00
       1   0.0%  98.8%        1   0.0% 0x000056d6299abc0b
       1   0.0%  98.9%        1   0.0% 0x000056d6299abc0d
       1   0.0%  98.9%        1   0.0% 0x000056d6299abc18
       1   0.0%  98.9%        1   0.0% 0x000056d6299abc7e
       1   0.0%  99.0%        1   0.0% 0x000056d6299abc81
       1   0.0%  99.0%        1   0.0% 0x000056d6299abc86
       1   0.0%  99.0%        1   0.0% 0x000056d6299abc98
       1   0.0%  99.0%        1   0.0% 0x000056d6299abcbf
       1   0.0%  99.1%        1   0.0% 0x000056d6299abd0d
       1   0.0%  99.1%        1   0.0% 0x000056d6299abd27
       1   0.0%  99.1%        1   0.0% 0x000056d6299abd2f
       1   0.0%  99.2%        1   0.0% 0x000056d6299abd36
       1   0.0%  99.2%        1   0.0% 0x000056d6299abd3a
       1   0.0%  99.2%        1   0.0% 0x000056d6299abd4b
       1   0.0%  99.3%        1   0.0% 0x000056d6299abd5f
       1   0.0%  99.3%        1   0.0% 0x000056d6299abd61
       1   0.0%  99.3%        1   0.0% 0x000056d6299abd6c
       1   0.0%  99.3%        1   0.0% 0x000056d6299abd74
       1   0.0%  99.4%        1   0.0% 0x000056d6299abd85
       1   0.0%  99.4%        1   0.0% 0x000056d6299abd9d
       1   0.0%  99.4%        1   0.0% 0x000056d6299abd9f
       1   0.0%  99.5%        1   0.0% 0x000056d6299abdaf
       1   0.0%  99.5%        1   0.0% 0x000056d6299abdb4
       1   0.0%  99.5%        1   0.0% 0x000056d6299abdbf
       1   0.0%  99.6%        1   0.0% 0x000056d6299ac346
       1   0.0%  99.6%        1   0.0% 0x000056d6299ad876
       1   0.0%  99.6%        1   0.0% 0x000056d6299add90
       1   0.0%  99.6%        1   0.0% 0x000056d6299adda6
       1   0.0%  99.7%        1   0.0% 0x000056d6299addcf
       1   0.0%  99.7%        1   0.0% 0x000056d6299addf3
       1   0.0%  99.7%        1   0.0% __GI___exp
       1   0.0%  99.8%        1   0.0% __printf_buffer
       1   0.0%  99.8%        1   0.0% __printf_fp_buffer_1
       1   0.0%  99.8%        1   0.0% __sincos_fma
       1   0.0%  99.9%        1   0.0% _int_free
       1   0.0%  99.9%        1   0.0% _int_free_merge_chunk
       1   0.0%  99.9%        1   0.0% _int_malloc
       1   0.0%  99.9%        1   0.0% do_cos
       1   0.0% 100.0%        1   0.0% operator delete@@CXXABI_1.3.9
       1   0.0% 100.0%        2   0.1% operator new@@GLIBCXX_3.4
       0   0.0% 100.0%        1   0.0% 0x000056d6299a44d5
       0   0.0% 100.0%      105   3.1% 0x000056d6299a4c0f
       0   0.0% 100.0%       50   1.5% 0x000056d6299a4e2a
       0   0.0% 100.0%     1048  31.4% 0x000056d6299a50b3
       0   0.0% 100.0%        8   0.2% 0x000056d6299a5401
       0   0.0% 100.0%        2   0.1% 0x000056d6299a5439
       0   0.0% 100.0%     2108  63.2% 0x000056d6299a5480
       0   0.0% 100.0%        1   0.0% 0x000056d6299a55e6
       0   0.0% 100.0%        1   0.0% 0x000056d6299a5748
       0   0.0% 100.0%        2   0.1% 0x000056d6299a5c8c
       0   0.0% 100.0%        1   0.0% 0x000056d6299a5d6e
       0   0.0% 100.0%     3336 100.0% 0x000056d6299a6ab4
       0   0.0% 100.0%        1   0.0% 0x000056d6299a78dc
       0   0.0% 100.0%     2146  64.3% 0x000056d6299a79d1
       0   0.0% 100.0%        7   0.2% 0x000056d6299aa568
       0   0.0% 100.0%        1   0.0% 0x000056d6299aa870
       0   0.0% 100.0%        9   0.3% 0x000056d6299aace0
       0   0.0% 100.0%        1   0.0% 0x000056d6299aacff
       0   0.0% 100.0%        6   0.2% 0x000056d6299aaea5
       0   0.0% 100.0%        3   0.1% 0x000056d6299aaec4
       0   0.0% 100.0%     1105  33.1% 0x000056d6299aaef3
       0   0.0% 100.0%     1049  31.4% 0x000056d6299aaf14
       0   0.0% 100.0%        1   0.0% 0x000056d6299aafb9
       0   0.0% 100.0%        1   0.0% 0x000056d6299ab07c
       0   0.0% 100.0%        1   0.0% 0x000056d6299ab09f
       0   0.0% 100.0%        1   0.0% 0x000056d6299ab411
       0   0.0% 100.0%        9   0.3% 0x000056d6299ab42f
       0   0.0% 100.0%        4   0.1% 0x000056d6299ab48e
       0   0.0% 100.0%        8   0.2% 0x000056d6299ab4b0
       0   0.0% 100.0%        2   0.1% 0x000056d6299ab599
       0   0.0% 100.0%        1   0.0% 0x000056d6299ab5a5
       0   0.0% 100.0%        2   0.1% 0x000056d6299ac35c
       0   0.0% 100.0%        2   0.1% 0x000056d6299ad059
       0   0.0% 100.0%        1   0.0% 0x000056d6299ad082
       0   0.0% 100.0%        1   0.0% 0x000056d6299ad0a2
       0   0.0% 100.0%        4   0.1% __GI___libc_free
       0   0.0% 100.0%        1   0.0% __GI___libc_malloc
       0   0.0% 100.0%        2   0.1% __GI___sbrk
       0   0.0% 100.0%        2   0.1% __glibc_morecore
